Timestamp,1. How often do you shop online?  ,2. What is your age group?  ,"3. Which platform do you prefer for buying electronics (e.g., phones, laptops, gadgets)?  ",4. Where do you usually shop for fashion and apparel?,5.  Which platform do you prefer for beauty and skincare products?  ,6. Where do you typically buy groceries and household essentials?  ,7. What is the most important factor for you when choosing a platform to shop from?  ,8. Do you trust the product reviews and ratings on these platforms?  ,9. Which platform’s return and refund policy do you find the best?  
21/10/2024 10:19:01,Monthly,18-24,None / I don’t buy electronics online,H&M,Nykaa,Blinkit,Product Quality,"Yes, completely trust them",h&m
21/10/2024 14:12:55,Monthly,18-24,Amazon,H&M,Nykaa,JioMart,Platform Trust and Security,Neutral,Nykaa
21/10/2024 15:12:58,weekly,45-54,Amazon,Myntra,Nykaa,Blinkit,Price and Discounts,"Yes, completely trust them",Amazon
21/10/2024 15:13:34,Monthly,25-34,Amazon,Myntra,Nykaa,None / I don’t buy fashion items online,Price and Discounts,Somewhat trust them,Myntra
21/10/2024 15:15:01,weekly,25-34,Amazon,Myntra,Nykaa,None / I don’t buy fashion items online,Product Quality,Neutral,All
21/10/2024 15:16:13,Monthly,18-24,None / I don’t buy electronics online,Myntra,Nykaa,Blinkit,Product Quality,"Yes, completely trust them",I don’t use return/refund services
21/10/2024 15:16:37,weekly,25-34,Amazon,Amazon,Amazon,None / I don’t buy fashion items online,Product Quality,Somewhat don’t trust them,Amazon
21/10/2024 15:16:44,Monthly,25-34,Reliance Digital,Zara,Purplle,Zepto,Platform Trust and Security,Neutral,Ajio
21/10/2024 15:18:00,Daily,25-34,Both Amazon n flipkart,Almost all sites ,Nyka myntra ajio purplle,Offline,Price and Discounts,Somewhat trust them,Myntra
21/10/2024 15:18:44,Monthly,25-34,Amazon,Myntra,Purplle,Flipkart Supermart,Product Quality,Somewhat don’t trust them,Ajio
21/10/2024 15:19:05,Occasionally (once every few months),35-44,None / I don’t buy electronics online,Myntra,Amazon,JioMart,Product Variety,Somewhat don’t trust them,I don’t use return/refund services
21/10/2024 15:20:26,Monthly,18-24,None / I don’t buy electronics online,Ajio,None / I don’t buy fashion items online,None / I don’t buy fashion items online,Product Quality,Neutral,I don’t use return/refund services
21/10/2024 15:23:11,weekly,45-54,Amazon,Amazon,Amazon,Blinkit,Price and Discounts,"Yes, completely trust them",Amazon
21/10/2024 15:25:30,Monthly,18-24,Amazon,Zara,Nykaa,Blinkit,Product Quality,Somewhat trust them,Flipkart
21/10/2024 15:37:48,Monthly,35-44,Flipkart,Myntra,Nykaa,Flipkart Supermart,Price and Discounts,"Yes, completely trust them",Flipkart
21/10/2024 15:38:32,weekly,25-34,Amazon,Myntra,Nykaa,Blinkit,Product Variety,Somewhat don’t trust them,Amazon
21/10/2024 15:38:35,Occasionally (once every few months),25-34,Amazon,Amazon,None / I don’t buy fashion items online,None / I don’t buy fashion items online,Product Quality,Neutral,Amazon
21/10/2024 15:38:50,weekly,35-44,Reliance Digital,Myntra,Flipkart,Flipkart Supermart,Return/Refund Policy,"Yes, completely trust them",Flipkart
21/10/2024 15:39:19,Occasionally (once every few months),18-24,None / I don’t buy electronics online,None / I don’t buy fashion items online,Purplle,JioMart,Product Quality,Neutral,Amazon
21/10/2024 15:40:04,Monthly,25-34,Amazon,H&M,Amazon,None / I don’t buy fashion items online,Product Quality,Somewhat trust them,None
21/10/2024 15:40:39,Monthly,25-34,Amazon,Myntra,Nykaa,Offline,Product Quality,Neutral,Myntra
21/10/2024 15:43:22,Occasionally (once every few months),18-24,Amazon,Myntra,None / I don’t buy fashion items online,Blinkit,Platform Trust and Security,Somewhat trust them,Amazon
21/10/2024 15:46:02,Rarely (once or twice a year),18-24,Flipkart,Myntra,Nykaa,None / I don’t buy fashion items online,Price and Discounts,Somewhat trust them,Myntra
21/10/2024 15:47:10,Occasionally (once every few months),18-24,Amazon,Ajio,None / I don’t buy fashion items online,None / I don’t buy fashion items online,Return/Refund Policy,Somewhat trust them,Amazon
21/10/2024 15:51:30,Monthly,18-24,Amazon,Ajio,Amazon,None / I don’t buy fashion items online,Product Quality,Somewhat trust them,Amazon
21/10/2024 15:52:19,weekly,35-44,Amazon,Flipkart,Nykaa,JioMart,Product Quality,Somewhat trust them,Amazon
21/10/2024 15:54:23,weekly,25-34,Amazon,Zara,Nykaa,Flipkart Supermart,Product Quality,Somewhat trust them,Amazon
21/10/2024 15:55:39,Rarely (once or twice a year),35-44,None / I don’t buy electronics online,Myntra,Purplle,None / I don’t buy fashion items online,Platform Trust and Security,Neutral,Amazon
21/10/2024 15:56:32,Occasionally (once every few months),45-54,Flipkart,Amazon,Nykaa,Flipkart Supermart,Price and Discounts,"Yes, completely trust them",Flipkart
21/10/2024 15:57:05,Occasionally (once every few months),35-44,Croma,Flipkart,None / I don’t buy fashion items online,Flipkart Supermart,Price and Discounts,Neutral,Flipkart
21/10/2024 15:57:49,Rarely (once or twice a year),18-24,None / I don’t buy electronics online,Flipkart,Myntra,Offline ,Price and Discounts,Somewhat trust them,Flipkart
21/10/2024 15:57:52,Monthly,25-34,Reliance Digital,Amazon,Nykaa,None / I don’t buy fashion items online,Platform Trust and Security,Neutral,Amazon
21/10/2024 15:57:53,Occasionally (once every few months),25-34,Flipkart,Myntra,Nykaa,Flipkart Supermart,Platform Trust and Security,Somewhat don’t trust them,Flipkart
21/10/2024 15:58:46,Occasionally (once every few months),25-34,Flipkart,Myntra,Nykaa,Flipkart Supermart,Platform Trust and Security,Somewhat don’t trust them,Flipkart
21/10/2024 16:00:13,Daily,25-34,None / I don’t buy electronics online,Myntra,Myntra,Blinkit,Platform Trust and Security,Somewhat trust them,Amazon
21/10/2024 16:02:37,Occasionally (once every few months),18-24,Amazon,Amazon,None / I don’t buy fashion items online,JioMart,Price and Discounts,Somewhat trust them,I don’t use return/refund services
21/10/2024 16:02:40,Occasionally (once every few months),18-24,Amazon,Ajio,None / I don’t buy fashion items online,.,Product Quality,"Yes, completely trust them",Amazon
21/10/2024 16:02:41,Monthly,Under 18,Amazon,Amazon,Amazon,JioMart,Platform Trust and Security,Neutral,Amazon
21/10/2024 16:02:48,weekly,18-24,Amazon,Myntra,Nykaa,JioMart,Price and Discounts,Don’t trust them at all,Amazon
21/10/2024 16:02:48,Monthly,18-24,Amazon,Myntra,Amazon,JioMart,Price and Discounts,"Yes, completely trust them",Myntra
21/10/2024 16:02:48,Monthly,18-24,None / I don’t buy electronics online,Myntra,Myntra,JioMart,Product Quality,Somewhat trust them,Myntra
21/10/2024 16:02:49,Monthly,18-24,Flipkart,Flipkart,None / I don’t buy fashion items online,JioMart,Product Quality,Somewhat trust them,Amazon
21/10/2024 16:02:55,Monthly,18-24,Amazon,Ajio,Amazon,None / I don’t buy fashion items online,Price and Discounts,"Yes, completely trust them",Amazon
21/10/2024 16:03:00,weekly,18-24,Amazon,Zara,Amazon,Flipkart Supermart,Product Quality,"Yes, completely trust them",Amazon
21/10/2024 16:03:01,Monthly,18-24,Amazon,Ajio,Amazon,JioMart,Price and Discounts,Don’t trust them at all,Amazon
21/10/2024 16:03:06,Monthly,18-24,Amazon,Amazon,Amazon,Zepto,Product Quality,Somewhat trust them,Amazon
21/10/2024 16:03:11,Monthly,18-24,Amazon,None / I don’t buy fashion items online,Nykaa,Zepto,Price and Discounts,Neutral,Amazon
21/10/2024 16:03:18,Occasionally (once every few months),18-24,Flipkart,Ajio,None / I don’t buy fashion items online,None / I don’t buy fashion items online,Platform Trust and Security,Neutral,Flipkart
21/10/2024 16:03:25,Occasionally (once every few months),18-24,None / I don’t buy electronics online,H&M,None / I don’t buy fashion items online,JioMart,Availability of Offers and Coupons,Somewhat trust them,Amazon
21/10/2024 16:03:28,Occasionally (once every few months),18-24,Amazon,None / I don’t buy fashion items online,Amazon,JioMart,Product Quality,Somewhat trust them,Amazon
21/10/2024 16:03:40,Rarely (once or twice a year),45-54,Flipkart,Flipkart,Flipkart,None / I don’t buy fashion items online,Return/Refund Policy,"Yes, completely trust them",Flipkart
21/10/2024 16:04:01,Occasionally (once every few months),18-24,None / I don’t buy electronics online,H&M,None / I don’t buy fashion items online,None / I don’t buy fashion items online,Return/Refund Policy,Somewhat trust them,Amazon
21/10/2024 16:04:07,weekly,18-24,Amazon,None / I don’t buy fashion items online,None / I don’t buy fashion items online,JioMart,Product Variety,Somewhat trust them,Amazon
21/10/2024 16:04:26,Monthly,18-24,Amazon,Myntra,Nykaa,JioMart,Price and Discounts,Somewhat don’t trust them,Amazon
21/10/2024 16:05:28,Occasionally (once every few months),18-24,Amazon,Amazon,Amazon,Bigbasket,Bigbasket,Neutral,Amazon
21/10/2024 16:05:30,Monthly,18-24,Amazon,Myntra,Flipkart,JioMart,Product Quality,Don’t trust them at all,I don’t use return/refund services
21/10/2024 16:05:32,Monthly,18-24,Amazon,Myntra,Myntra,JioMart,Product Quality,Somewhat trust them,Myntra
21/10/2024 16:06:15,Monthly,18-24,Amazon,Myntra,Nykaa,Blinkit,Price and Discounts,"Yes, completely trust them",Amazon
21/10/2024 16:06:44,Monthly,18-24,Amazon,Amazon,Flipkart,JioMart,Product Quality,Somewhat trust them,Flipkart
21/10/2024 16:06:45,Rarely (once or twice a year),35-44,Flipkart,Flipkart,Nykaa,None / I don’t buy fashion items online,Price and Discounts,Neutral,Flipkart
21/10/2024 16:07:21,Daily,18-24,Amazon,Amazon,Amazon,JioMart,Platform Trust and Security,Neutral,Amazon
21/10/2024 16:07:54,weekly,18-24,Amazon,Myntra,Amazon,JioMart,Price and Discounts,Neutral,Amazon
21/10/2024 16:08:11,Monthly,18-24,Amazon,Myntra,Nykaa,JioMart,Platform Trust and Security,"Yes, completely trust them",Nykaa
21/10/2024 16:08:12,Monthly,35-44,Croma,Amazon,Nykaa,Flipkart Supermart,Product Quality,Somewhat don’t trust them,Flipkart
21/10/2024 16:09:03,Occasionally (once every few months),18-24,Flipkart,Ajio,Myntra,None / I don’t buy fashion items online,Return/Refund Policy,"Yes, completely trust them",Myntra
21/10/2024 16:09:31,Monthly,18-24,Amazon,Ajio,Nykaa,JioMart,Platform Trust and Security,Neutral,Flipkart
21/10/2024 16:10:57,Occasionally (once every few months),18-24,Flipkart,Ajio,Myntra,JioMart,Product Quality,Somewhat trust them,Flipkart
21/10/2024 16:11:25,Monthly,Under 18,Flipkart,Flipkart,Flipkart,Flipkart Supermart,Product Quality,Somewhat trust them,Flipkart
21/10/2024 16:12:39,Monthly,18-24,Amazon,Myntra,Nykaa,JioMart,Price and Discounts,Neutral,Amazon
21/10/2024 16:12:47,Never,35-44,None / I don’t buy electronics online,None / I don’t buy fashion items online,None / I don’t buy fashion items online,None / I don’t buy fashion items online,Product Quality,Somewhat don’t trust them,I don’t use return/refund services
21/10/2024 16:13:18,weekly,18-24,Reliance Digital,Zara,Amazon,Blinkit,Product Variety,Somewhat don’t trust them,Ajio
21/10/2024 16:13:36,weekly,Under 18,Amazon,Myntra,Nykaa,JioMart,Price and Discounts,Neutral,I don’t use return/refund services
21/10/2024 16:15:11,Occasionally (once every few months),18-24,Flipkart,Myntra,Flipkart,JioMart,Availability of Offers and Coupons,Neutral,Flipkart
21/10/2024 16:15:27,Occasionally (once every few months),18-24,Official website ,ALL THE ABOVE ,None / I don’t buy fashion items online,JioMart,Product Quality,Somewhat don’t trust them,I don’t use return/refund services
21/10/2024 16:19:06,Monthly,18-24,Malls,Flipkart,Amazon,Flipkart Supermart,Product Quality,Neutral,Amazon
21/10/2024 16:23:44,Occasionally (once every few months),18-24,None / I don’t buy electronics online,Amazon,Amazon,None / I don’t buy fashion items online,Product Quality,Neutral,Amazon
21/10/2024 16:25:26,Occasionally (once every few months),18-24,Amazon,Myntra,None / I don’t buy fashion items online,None / I don’t buy fashion items online,Price and Discounts,"Yes, completely trust them",Amazon
21/10/2024 16:26:55,Occasionally (once every few months),25-34,Flipkart,Myntra,Myntra,Flipkart Supermart,Product Quality,Somewhat trust them,Myntra
21/10/2024 16:27:26,weekly,18-24,Amazon,Myntra,Amazon,JioMart,Return/Refund Policy,Somewhat trust them,Amazon
21/10/2024 16:27:32,Rarely (once or twice a year),18-24,Amazon,Myntra,Myntra,Blinkit,Price and Discounts,Somewhat trust them,Myntra
21/10/2024 16:28:12,Occasionally (once every few months),18-24,None / I don’t buy electronics online,Amazon,Amazon,JioMart,Price and Discounts,Don’t trust them at all,Amazon
21/10/2024 16:28:16,Occasionally (once every few months),18-24,Amazon,None / I don’t buy fashion items online,Amazon,None / I don’t buy fashion items online,Product Quality,Somewhat trust them,I don’t use return/refund services
21/10/2024 16:28:49,Occasionally (once every few months),18-24,Amazon,H&M,None / I don’t buy fashion items online,None / I don’t buy fashion items online,Platform Trust and Security,"Yes, completely trust them",Amazon
21/10/2024 16:33:41,Monthly,18-24,None / I don’t buy electronics online,Myntra,Myntra,Zepto,Price and Discounts,Somewhat trust them,Myntra
